Timestamp_s,Temp_Relative_Max,Pos_Hotspot_X,Pos_Hotspot_Y
0.13,26054.11,23,2
0.28,26054.11,23,2
0.45,26054.11,23,2
5.25,26111.0,23,14
5.43,26111.0,23,14
5.57,26111.0,23,14
5.7,29211.44,2,8
5.84,29211.44,2,8
5.99,29211.44,2,8
6.15,29211.44,2,8
6.33,28614.11,2,7
6.51,28614.11,2,7
6.67,29751.89,5,12
6.8,29837.22,5,12
6.94,29837.22,5,12
7.07,29837.22,5,12
7.23,29524.33,5,13
7.4,29524.33,5,13
7.57,29524.33,5,13
7.75,31629.22,23,14
7.91,31629.22,23,14
8.06,31629.22,23,14
8.18,31629.22,23,14
8.35,31117.22,22,13
8.54,31117.22,22,13
8.67,31117.22,22,13
8.84,31856.78,13,14
8.98,31856.78,13,14
9.15,31856.78,13,14
9.3,31202.56,13,14
9.42,31202.56,13,14
9.6,31202.56,13,14
9.74,28727.89,22,11
9.88,28727.89,22,11
10.06,28727.89,22,11
10.23,27931.44,23,10
10.41,29296.78,23,12
10.55,29296.78,23,12
10.73,29296.78,23,12
10.86,27078.11,23,2
10.98,27078.11,23,2
11.15,27078.11,23,2
11.33,27049.67,23,2
11.5,27049.67,23,2
11.66,27049.67,23,2
11.82,26879.0,23,2
11.95,26879.0,23,2
12.09,26879.0,23,2
12.23,26879.0,23,2
12.39,26879.0,23,2
12.54,26879.0,23,2
12.71,26879.0,23,2
12.85,26623.0,23,2
13.09,26623.0,23,2
13.26,26623.0,23,2
13.42,26651.44,23,2
13.56,26651.44,23,2
13.69,26651.44,23,2
13.82,26935.89,23,2
13.96,26935.89,23,2
14.16,26935.89,23,2
14.33,26935.89,23,2
14.5,26935.89,23,2
14.64,26935.89,23,2
14.76,26935.89,23,2
14.89,26822.11,23,2
15.04,26822.11,23,2
15.17,26822.11,23,2
15.32,26822.11,23,2
15.44,26822.11,23,2
15.59,26822.11,23,2
15.73,26822.11,23,2
15.88,26793.67,23,2
16.01,26793.67,23,2
16.14,26793.67,23,2
16.31,26793.67,23,2
